Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;10828;17514;50203;17560;17514;0;6732;826968,674443
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;8452;15141;55561;15181;15141;0;6729;469481,940508
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;8282;15011;60085;15011;15011;1;6729;454761,489299
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;8099;14828;59674;14828;14828;0;6729;453673,647139
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;8305;14991;59639;15034;14991;0;6729;454068,038327
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;8395;15123;60214;15123;15123;1;6728;475574,763636
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;8144;14873;59692;14873;14873;1;6729;460075,188716
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;8197;14926;59726;14926;14926;0;6729;459278,956782
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;8429;15158;52713;15158;15158;0;6729;488629,1487
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;7399;13974;43230;14129;13974;0;6730;881513,126789
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;6585;13230;38426;13322;13230;1;6737;858321,391313
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;5193;11927;43397;11927;11927;0;6734;464197,70815
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;5069;11802;47266;11802;11802;1;6733;454792,862413
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;5005;11628;46949;11738;11628;0;6733;458582,669532
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;5087;11792;47153;11820;11792;0;6733;466043,558481
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;5182;11915;47179;11915;11915;1;6733;474682,241684
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;4867;11601;46128;11601;11601;0;6734;449117,809192
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;5113;11781;46997;11846;11781;0;6733;465305,651247
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;5178;11911;41553;11912;11911;0;6734;474565,097853
